Subject,Grade,Estimated_grade,Estimated_grade_by_bot,Estimated_grade_by_bot_high,Estimated_grade_by_bot_low
engl,13.0,18.0,16.25,16.8333333333333,15.6666666666667
engl,16.0,17.0,15.75,16.1666666666667,15.3333333333333
fr,18.0,18.0,18.5,18.6666666666667,18.3333333333333
maths,18.5,19.0,18.5,18.6666666666667,18.3333333333333
maths,19.5,19.0,18.5,18.6666666666667,18.3333333333333
phys,15.0,17.0,16.0,16.3333333333333,15.6666666666667
hist,14.0,11.0,12.5,13.0,12.0
NSI,20.0,17.0,18.5,19.0,18.0
maths,16.0,17.0,17.5,17.6666666666667,17.3333333333333
ESbio,14.0,16.0,15.0,15.3333333333333,14.6666666666667
fr,20.0,17.0,18.0,18.3333333333333,17.6666666666667
spa,,13.0,13.0,,
